,matched_numbers,matched_numbers_count
152,"['11', '21']",2
153,['33'],1
154,['42'],1
155,[],0
156,['19'],1
157,['11'],1
158,"['11', '42']",2
159,[],0
160,[],0
161,['11'],1
162,[],0
163,[],0
164,['11'],1
165,[],0
166,"['11', '33']",2
167,"['21', '42']",2
168,['42'],1
169,['42'],1
170,[],0
171,['33'],1
172,[],0
173,[],0
174,['11'],1
175,['11'],1
176,['19'],1
177,[],0
178,[],0
179,['42'],1
180,['33'],1
181,[],0
182,[],0
183,"['11', '21']",2
184,"['11', '33', '42']",3
185,"['19', '33']",2
186,[],0
187,['21'],1
188,['21'],1
189,[],0
190,['19'],1
191,[],0
192,['42'],1
193,[],0
194,['42'],1
195,['19'],1
196,['19'],1
197,['42'],1
198,[],0
199,[],0
200,['19'],1
201,[],0
202,[],0
203,['21'],1
204,['11'],1
205,[],0
206,[],0
207,['21'],1
208,['21'],1
209,['42'],1
210,[],0
211,['21'],1
212,"['33', '42']",2
213,"['21', '42']",2
214,[],0
215,['19'],1
216,[],0
217,[],0
218,"['11', '21']",2
219,[],0
220,[],0
221,['33'],1
222,['21'],1
223,[],0
224,['21'],1
225,[],0
226,['21'],1
227,['21'],1
228,[],0
229,['21'],1
230,[],0
231,[],0
232,[],0
233,[],0
234,[],0
235,['19'],1
236,[],0
237,['33'],1
238,['21'],1
239,[],0
240,['21'],1
241,[],0
242,[],0
243,"['11', '21']",2
244,[],0
245,['21'],1
246,[],0
247,['21'],1
248,[],0
249,[],0
250,['21'],1
251,[],0
252,[],0
253,"['11', '19']",2
254,[],0
255,['11'],1
256,[],0
257,['33'],1
258,[],0
259,[],0
260,['19'],1
261,['11'],1
262,[],0
263,[],0
264,['21'],1
265,"['11', '19']",2
266,[],0
267,['19'],1
268,[],0
269,[],0
270,['19'],1
271,['33'],1
272,['33'],1
273,['21'],1
274,"['11', '19']",2
275,[],0
276,[],0
277,['33'],1
278,"['21', '33']",2
279,['19'],1
280,[],0
281,['19'],1
282,['11'],1
283,"['11', '19']",2
284,[],0
285,[],0
286,[],0
287,[],0
288,[],0
289,['42'],1
290,['21'],1
291,[],0
292,['21'],1
293,[],0
294,[],0
295,[],0
296,"['19', '21']",2
297,['21'],1
298,[],0
299,[],0
300,['21'],1
301,[],0
302,"['19', '33']",2
303,['42'],1
304,[],0
305,[],0
306,['21'],1
307,['19'],1
308,[],0
309,['42'],1
310,[],0
311,['33'],1
312,[],0
313,[],0
314,[],0
315,[],0
316,[],0
317,[],0
318,['21'],1
319,['21'],1
320,['33'],1
321,"['11', '21']",2
322,[],0
323,[],0
324,[],0
325,['11'],1
326,['21'],1
327,[],0
328,[],0
329,[],0
330,['11'],1
331,[],0
332,['11'],1
333,[],0
334,['33'],1
335,[],0
336,['21'],1
337,[],0
338,['42'],1
339,[],0
340,['11'],1
341,['21'],1
342,['19'],1
343,[],0
344,['19'],1
345,[],0
346,[],0
347,[],0
348,[],0
349,"['11', '19']",2
350,[],0
351,[],0
352,['11'],1
353,['21'],1
354,[],0
355,[],0
356,[],0
357,[],0
358,[],0
359,['42'],1
360,"['19', '21']",2
361,['42'],1
362,['19'],1
363,['19'],1
364,['21'],1
365,['42'],1
366,['33'],1
367,[],0
368,['11'],1
369,['11'],1
370,[],0
371,[],0
372,['11'],1
373,['19'],1
374,[],0
375,['11'],1
376,[],0
377,['11'],1
378,[],0
379,[],0
380,['19'],1
381,[],0
382,[],0
383,['11'],1
384,"['11', '21']",2
385,['33'],1
386,['42'],1
387,[],0
388,['42'],1
389,['33'],1
390,[],0
391,[],0
392,"['19', '33']",2
393,"['33', '42']",2
394,"['11', '21']",2
395,['19'],1
396,['11'],1
397,[],0
398,['33'],1
399,[],0
400,[],0
401,['11'],1
402,['42'],1
403,['11'],1
404,"['21', '33']",2
405,[],0
406,['42'],1
407,['11'],1
408,['42'],1
409,['11'],1
410,['33'],1
411,['33'],1
412,[],0
413,[],0
414,[],0
415,[],0
416,[],0
417,['42'],1
418,[],0
419,['33'],1
420,['42'],1
421,[],0
422,[],0
423,['42'],1
424,[],0
425,['33'],1
426,['21'],1
427,[],0
428,['42'],1
429,['33'],1
430,"['11', '21']",2
431,"['11', '21']",2
432,[],0
433,"['19', '21']",2
434,['33'],1
435,[],0
436,['42'],1
437,['11'],1
438,"['19', '21', '33']",3
439,[],0
440,['42'],1
441,[],0
442,[],0
443,['11'],1
444,['33'],1
445,['33'],1
446,['19'],1
447,[],0
448,[],0
449,[],0
450,[],0
451,[],0
452,[],0
453,"['11', '19']",2
454,['11'],1
455,['42'],1
456,"['11', '21']",2
457,[],0
458,['11'],1
459,['33'],1
460,"['21', '42']",2
461,[],0
462,['21'],1
463,['33'],1
464,['19'],1
465,['11'],1
466,[],0
467,"['11', '33']",2
468,['11'],1
469,[],0
470,[],0
471,[],0
472,[],0
473,[],0
474,"['21', '42']",2
475,"['11', '33']",2
476,"['11', '19']",2
477,"['11', '19']",2
478,[],0
479,['19'],1
480,['42'],1
481,[],0
482,"['33', '42']",2
483,[],0
484,"['11', '21', '42']",3
485,[],0
486,[],0
487,[],0
488,[],0
489,['11'],1
490,"['11', '33']",2
491,['21'],1
492,[],0
493,['21'],1
494,[],0
495,['42'],1
496,[],0
497,[],0
498,['19'],1
499,[],0
500,['21'],1
501,['19'],1
502,[],0
503,[],0
504,['42'],1
505,"['11', '42']",2
506,[],0
507,['19'],1
508,[],0
509,[],0
510,['11'],1
511,[],0
512,"['19', '21']",2
513,['21'],1
514,['21'],1
515,['42'],1
516,[],0
517,['11'],1
518,['42'],1
519,['21'],1
520,['21'],1
521,[],0
522,"['19', '42']",2
523,['19'],1
524,['42'],1
525,[],0
526,['21'],1
527,['19'],1
528,['19'],1
529,[],0
530,['11'],1
531,[],0
532,[],0
533,[],0
534,['33'],1
535,[],0
536,"['11', '21']",2
537,[],0
538,['42'],1
539,[],0
540,['21'],1
541,[],0
542,[],0
543,"['11', '33']",2
544,[],0
545,['19'],1
546,[],0
547,[],0
548,['33'],1
549,[],0
550,[],0
551,[],0
552,[],0
553,['33'],1
554,[],0
555,['19'],1
556,[],0
557,['21'],1
558,[],0
559,[],0
560,['42'],1
561,[],0
562,[],0
563,['33'],1
564,[],0
565,['33'],1
566,[],0
567,[],0
568,['21'],1
569,[],0
570,[],0
571,[],0
572,['33'],1
573,['42'],1
574,[],0
575,"['11', '19', '33']",3
576,['21'],1
577,['21'],1
578,[],0
579,[],0
580,[],0
581,['11'],1
582,[],0
583,[],0
584,[],0
585,[],0
586,['21'],1
587,[],0
588,['11'],1
589,[],0
590,['42'],1
591,[],0
592,[],0
593,['19'],1
594,['19'],1
595,['19'],1
596,['21'],1
597,[],0
598,[],0
599,['33'],1
600,['42'],1
601,[],0
602,[],0
603,[],0
604,['21'],1
605,[],0
606,"['11', '21']",2
607,[],0
608,[],0
609,[],0
610,"['19', '33']",2
611,[],0
612,[],0
613,['42'],1
614,[],0
615,[],0
616,[],0
617,[],0
618,[],0
619,['19'],1
620,[],0
621,"['11', '33']",2
622,[],0
623,[],0
624,[],0
625,[],0
626,[],0
627,"['11', '42']",2
628,"['19', '42']",2
629,"['21', '42']",2
630,['19'],1
631,"['11', '21']",2
632,['42'],1
633,[],0
634,"['19', '33']",2
635,[],0
636,['21'],1
637,['11'],1
638,['42'],1
639,['11'],1
640,[],0
641,[],0
642,[],0
643,['11'],1
644,['33'],1
645,['19'],1
646,[],0
647,['21'],1
648,"['19', '42']",2
649,['42'],1
650,[],0
651,[],0
652,[],0
653,"['19', '33']",2
654,"['11', '19']",2
655,[],0
656,"['11', '21']",2
657,[],0
658,"['19', '33']",2
659,[],0
660,[],0
661,[],0
662,['42'],1
663,['11'],1
664,[],0
665,['19'],1
666,[],0
667,[],0
668,['19'],1
669,"['33', '42']",2
670,[],0
671,[],0
672,"['11', '33', '42']",3
673,['21'],1
674,['11'],1
675,[],0
676,['33'],1
677,[],0
678,['21'],1
679,[],0
680,"['11', '33']",2
681,['11'],1
682,"['11', '33', '42']",3
683,[],0
684,['33'],1
685,[],0
686,"['11', '21']",2
687,['42'],1
688,[],0
689,['33'],1
690,"['21', '42']",2
691,[],0
692,[],0
693,['21'],1
694,[],0
695,['33'],1
696,[],0
697,[],0
698,[],0
699,['11'],1
700,['11'],1
701,[],0
702,[],0
703,[],0
704,[],0
705,['11'],1
706,['19'],1
707,[],0
708,[],0
709,['21'],1
710,['19'],1
711,"['19', '33']",2
712,[],0
713,['21'],1
714,[],0
715,['11'],1
716,['33'],1
717,"['11', '19']",2
718,[],0
719,[],0
720,['21'],1
721,['33'],1
722,[],0
723,[],0
724,[],0
725,[],0
726,['11'],1
727,"['19', '21']",2
728,[],0
729,"['11', '33']",2
730,[],0
731,[],0
732,[],0
733,"['11', '21']",2
734,[],0
735,[],0
736,[],0
737,[],0
738,['42'],1
739,['42'],1
740,['19'],1
741,[],0
742,['33'],1
743,['11'],1
744,[],0
745,['21'],1
746,[],0
747,[],0
748,[],0
749,"['11', '21']",2
750,['33'],1
751,[],0
752,"['21', '42']",2
753,['11'],1
754,[],0
755,[],0
756,"['19', '42']",2
757,['19'],1
758,[],0
759,[],0
760,['19'],1
761,['11'],1
762,['21'],1
763,"['33', '42']",2
764,"['19', '21']",2
765,[],0
766,[],0
767,['11'],1
768,[],0
769,['11'],1
770,[],0
771,[],0
772,['42'],1
773,[],0
774,[],0
775,['21'],1
776,['21'],1
777,[],0
778,['42'],1
779,['33'],1
780,['42'],1
781,[],0
782,[],0
783,"['11', '33']",2
784,[],0
785,['19'],1
786,['21'],1
787,['42'],1
788,['19'],1
789,[],0
790,[],0
791,[],0
792,['42'],1
793,[],0
794,['19'],1
795,"['11', '21']",2
796,[],0
797,[],0
798,['21'],1
799,"['21', '33']",2
800,[],0
801,['19'],1
802,[],0
803,['33'],1
804,[],0
805,[],0
806,['11'],1
807,['33'],1
808,['33'],1
809,['11'],1
810,['42'],1
811,[],0
812,['33'],1
813,[],0
814,[],0
815,[],0
816,[],0
817,[],0
818,[],0
819,[],0
820,['33'],1
821,['19'],1
822,['11'],1
823,[],0
824,[],0
825,[],0
826,"['21', '33']",2
827,[],0
828,['11'],1
829,['11'],1
830,[],0
831,[],0
832,[],0
833,['11'],1
834,[],0
835,[],0
836,['33'],1
837,['21'],1
838,"['19', '33']",2
839,[],0
840,[],0
841,[],0
842,[],0
843,[],0
844,[],0
845,['21'],1
846,"['19', '33']",2
847,['11'],1
848,"['11', '42']",2
849,[],0
850,[],0
851,[],0
852,[],0
853,['21'],1
854,['19'],1
855,['21'],1
856,"['11', '21']",2
857,[],0
858,[],0
859,[],0
860,[],0
861,[],0
862,"['11', '33']",2
863,['42'],1
864,['21'],1
865,['42'],1
866,[],0
867,[],0
868,['21'],1
869,[],0
870,['33'],1
871,['33'],1
872,[],0
873,['19'],1
874,[],0
875,['19'],1
876,[],0
877,[],0
878,"['11', '21']",2
879,['21'],1
880,['11'],1
881,[],0
882,[],0
883,[],0
884,['33'],1
885,"['11', '42']",2
886,['42'],1
887,[],0
888,[],0
889,"['19', '33']",2
890,[],0
891,['33'],1
892,[],0
893,['21'],1
894,[],0
895,['42'],1
896,['11'],1
897,[],0
898,[],0
899,['11'],1
900,['42'],1
901,[],0
902,['33'],1
903,['11'],1
904,[],0
905,[],0
906,['42'],1
907,['21'],1
908,[],0
909,[],0
910,[],0
911,[],0
912,[],0
913,"['33', '42']",2
914,['21'],1
915,['42'],1
916,['21'],1
917,['33'],1
918,[],0
919,"['11', '19']",2
920,['21'],1
921,['21'],1
922,[],0
923,[],0
924,['19'],1
925,['21'],1
926,['11'],1
927,['42'],1
928,[],0
929,['11'],1
930,[],0
931,[],0
932,[],0
933,[],0
934,[],0
935,[],0
936,[],0
937,"['11', '33']",2
938,"['33', '42']",2
939,['42'],1
940,['42'],1
941,[],0
942,['33'],1
943,"['21', '42']",2
944,['42'],1
945,['11'],1
946,['19'],1
947,['42'],1
948,[],0
949,[],0
950,[],0
951,[],0
952,"['19', '21']",2
953,[],0
954,[],0
955,[],0
956,[],0
957,[],0
958,[],0
959,['11'],1
960,['19'],1
961,[],0
962,['11'],1
963,['11'],1
964,['19'],1
965,[],0
966,[],0
967,['33'],1
968,[],0
969,['19'],1
970,[],0
971,[],0
972,[],0
973,[],0
974,"['11', '33']",2
975,['19'],1
976,['11'],1
977,['19'],1
978,[],0
979,['11'],1
980,[],0
981,[],0
982,['42'],1
983,"['19', '21']",2
984,[],0
985,[],0
986,[],0
987,"['11', '21']",2
988,[],0
989,[],0
990,[],0
991,['33'],1
992,[],0
993,[],0
994,[],0
995,[],0
996,[],0
997,[],0
998,[],0
999,[],0
1000,[],0
1001,[],0
1002,['11'],1
1003,['11'],1
1004,"['21', '42']",2
1005,[],0
1006,[],0
1007,[],0
1008,['21'],1
1009,[],0
1010,[],0
1011,['21'],1
1012,[],0
1013,['33'],1
1014,[],0
1015,['21'],1
1016,['19'],1
1017,['11'],1
1018,['19'],1
1019,"['11', '19']",2
1020,[],0
1021,[],0
1022,['33'],1
1023,['42'],1
1024,[],0
1025,[],0
1026,['11'],1
1027,[],0
1028,[],0
1029,['21'],1
1030,"['19', '21']",2
1031,"['19', '33']",2
1032,['21'],1
1033,[],0
1034,"['11', '33']",2
1035,"['19', '21']",2
1036,[],0
1037,['21'],1
1038,[],0
1039,[],0
1040,['42'],1
1041,[],0
1042,[],0
1043,['11'],1
1044,[],0
1045,[],0
1046,"['11', '33']",2
1047,[],0
1048,"['11', '21']",2
1049,[],0
1050,[],0
1051,['21'],1
1052,[],0
1053,['11'],1
1054,[],0
1055,['11'],1
1056,[],0
1057,"['11', '19']",2
1058,['21'],1
1059,['42'],1
1060,['11'],1
1061,['11'],1
1062,"['11', '33']",2
1063,[],0
1064,['11'],1
1065,['21'],1
1066,[],0
1067,[],0
1068,[],0
1069,[],0
1070,[],0
1071,[],0
1072,"['19', '21', '42']",3
1073,"['11', '19']",2
1074,[],0
1075,['33'],1
1076,['42'],1
1077,['33'],1
1078,['11'],1
1079,[],0
1080,"['11', '42']",2
1081,['21'],1
1082,['42'],1
1083,[],0
1084,['33'],1
1085,['19'],1
1086,['11'],1
1087,[],0
1088,[],0
1089,[],0
1090,['19'],1
1091,[],0
1092,"['33', '42']",2
1093,[],0
1094,[],0
1095,[],0
1096,['33'],1
1097,['11'],1
1098,['42'],1
1099,[],0
1100,['33'],1
1101,[],0
1102,[],0
1103,[],0
1104,['21'],1
1105,['11'],1
1106,[],0
1107,['19'],1
1108,[],0
1109,[],0
1110,['21'],1
1111,[],0
1112,['33'],1
1113,[],0
1114,['11'],1
1115,['11'],1
1116,[],0
1117,['11'],1
1118,[],0
1119,[],0
1120,[],0
1121,['33'],1
1122,[],0
1123,['21'],1
1124,['21'],1
1125,[],0
1126,['11'],1
1127,['11'],1
1128,[],0
1129,[],0
1130,['19'],1
1131,"['21', '33']",2
1132,[],0
1133,[],0
1134,['42'],1
1135,[],0
1136,[],0
1137,['11'],1
1138,['21'],1
1139,['42'],1
1140,['33'],1
1141,[],0
1142,[],0
1143,['11'],1
1144,[],0
1145,[],0
1146,[],0
1147,[],0
1148,[],0
1149,[],0
1150,[],0
1151,[],0
1152,['11'],1
1153,[],0
1154,[],0
1155,[],0
1156,['21'],1
1157,['11'],1
1158,[],0
1159,[],0
1160,['33'],1
1161,"['19', '33']",2
1162,[],0
1163,[],0
1164,[],0
1165,[],0
1166,[],0
1167,[],0
1168,['33'],1
1169,[],0
1170,[],0
1171,[],0
1172,[],0
1173,[],0
1174,[],0
1175,['33'],1
1176,['19'],1
1177,[],0
1178,['42'],1
1179,['11'],1
1180,['21'],1
1181,"['11', '21']",2
1182,[],0
1183,"['19', '33', '42']",3
1184,['11'],1
1185,['19'],1
1186,[],0
1187,[],0
1188,[],0
1189,"['11', '21']",2
1190,[],0
1191,['11'],1
1192,['19'],1
1193,[],0
1194,[],0
1195,[],0
1196,['11'],1
1197,[],0
1198,['21'],1
1199,[],0
1200,[],0
1201,[],0
1202,['42'],1
1203,['33'],1
1204,"['19', '33', '42']",3
1205,"['11', '19', '33']",3
1206,[],0
1207,['11'],1
1208,['21'],1
1209,[],0
1210,[],0
1211,['19'],1
1212,[],0
1213,[],0
1214,[],0
1215,[],0
1216,"['19', '42']",2
1217,['21'],1
1218,[],0
1219,['19'],1
1220,['19'],1
1221,[],0
1222,['11'],1
1223,[],0
1224,[],0
1225,[],0
1226,[],0
1227,"['21', '42']",2
1228,[],0
1229,"['19', '21']",2
1230,[],0
1231,['33'],1
1232,[],0
1233,[],0
1234,['42'],1
1235,['21'],1
1236,['33'],1
1237,[],0
1238,['33'],1
1239,[],0
1240,[],0
1241,[],0
1242,['21'],1
1243,['11'],1
1244,['21'],1
1245,[],0
1246,[],0
1247,['21'],1
1248,['11'],1
1249,['11'],1
1250,[],0
1251,[],0
1252,[],0
1253,['21'],1
1254,['33'],1
1255,[],0
1256,['33'],1
1257,[],0
1258,['11'],1
1259,[],0
1260,[],0
1261,['19'],1
1262,[],0
1263,['19'],1
1264,['19'],1
1265,['19'],1
1266,['11'],1
1267,[],0
1268,[],0
1269,['19'],1
1270,['33'],1
1271,['42'],1
1272,[],0
1273,['42'],1
1274,[],0
1275,[],0
1276,['33'],1
1277,['21'],1
1278,[],0
1279,[],0
1280,['19'],1
1281,['21'],1
1282,['19'],1
1283,['21'],1
1284,[],0
1285,[],0
1286,[],0
1287,"['11', '42']",2
1288,['33'],1
1289,[],0
1290,['19'],1
1291,['11'],1
1292,['42'],1
1293,[],0
1294,['11'],1
1295,[],0
1296,"['19', '33']",2
1297,[],0
1298,"['11', '19', '42']",3
1299,[],0
1300,[],0
1301,['11'],1
1302,[],0
1303,[],0
1304,[],0
1305,[],0
1306,[],0
1307,['42'],1
1308,[],0
1309,['11'],1
1310,[],0
1311,[],0
1312,"['11', '21']",2
1313,[],0
1314,[],0
1315,[],0
1316,['11'],1
1317,[],0
1318,['11'],1
1319,[],0
1320,['33'],1
1321,[],0
1322,[],0
1323,[],0
1324,['21'],1
1325,['33'],1
1326,[],0
1327,['19'],1
1328,['11'],1
1329,['11'],1
1330,['19'],1
1331,[],0
1332,[],0
1333,['11'],1
1334,['11'],1
1335,['21'],1
1336,['19'],1
1337,['21'],1
1338,['11'],1
1339,[],0
1340,"['11', '19']",2
1341,['33'],1
1342,[],0
1343,[],0
1344,"['11', '21']",2
1345,['21'],1
1346,[],0
1347,['11'],1
1348,['11'],1
1349,['21'],1
1350,[],0
1351,"['11', '21', '33']",3
1352,[],0
1353,[],0
1354,[],0
1355,['11'],1
1356,"['11', '42']",2
1357,[],0
1358,['42'],1
1359,['33'],1
1360,['21'],1
1361,[],0
1362,['42'],1
1363,['33'],1
1364,['42'],1
1365,['33'],1
1366,"['19', '21']",2
1367,['42'],1
1368,[],0
1369,[],0
1370,[],0
1371,['33'],1
1372,[],0
1373,[],0
1374,[],0
1375,[],0
1376,[],0
1377,['11'],1
1378,['11'],1
1379,[],0
1380,['19'],1
1381,['11'],1
1382,[],0
1383,[],0
1384,[],0
1385,[],0
1386,"['11', '19', '33']",3
1387,['33'],1
1388,[],0
1389,[],0
1390,[],0
1391,[],0
1392,['11'],1
1393,[],0
1394,['11'],1
1395,['19'],1
1396,[],0
1397,[],0
1398,[],0
1399,['21'],1
1400,['11'],1
1401,"['11', '33', '42']",3
1402,[],0
1403,[],0
1404,['21'],1
1405,[],0
1406,['33'],1
1407,[],0
1408,[],0
1409,[],0
1410,['21'],1
1411,"['11', '42']",2
1412,[],0
1413,[],0
1414,['21'],1
1415,[],0
1416,[],0
1417,['33'],1
1418,['33'],1
1419,['33'],1
1420,['11'],1
1421,['33'],1
1422,[],0
1423,[],0
1424,['33'],1
1425,"['11', '33', '42']",3
1426,[],0
1427,['11'],1
1428,['42'],1
1429,[],0
1430,[],0
1431,['19'],1
1432,"['19', '21']",2
1433,[],0
1434,['21'],1
1435,"['11', '19']",2
1436,"['11', '21']",2
1437,['19'],1
1438,[],0
1439,[],0
1440,['19'],1
1441,"['11', '19']",2
1442,['33'],1
1443,['19'],1
1444,['33'],1
1445,[],0
1446,[],0
1447,['42'],1
1448,[],0
1449,[],0
1450,[],0
1451,[],0
1452,"['11', '33']",2
1453,[],0
1454,[],0
1455,['11'],1
1456,['21'],1
1457,[],0
1458,[],0
1459,['42'],1
1460,['33'],1
1461,['11'],1
1462,[],0
1463,['42'],1
1464,['42'],1
1465,['21'],1
1466,['33'],1
1467,['21'],1
1468,['11'],1
1469,[],0
1470,[],0
1471,[],0
1472,[],0
1473,['19'],1
1474,['42'],1
1475,"['11', '42']",2
1476,['11'],1
1477,['42'],1
1478,['42'],1
1479,[],0
1480,[],0
1481,[],0
1482,[],0
1483,[],0
1484,['33'],1
1485,[],0
1486,['11'],1
1487,['21'],1
1488,[],0
1489,[],0
1490,[],0
1491,"['21', '33']",2
1492,[],0
1493,[],0
1494,['33'],1
1495,[],0
1496,[],0
1497,[],0
1498,[],0
1499,['19'],1
1500,['11'],1
1501,[],0
1502,[],0
1503,"['19', '33']",2
1504,[],0
1505,[],0
1506,[],0
1507,[],0
1508,[],0
1509,['19'],1
1510,[],0
1511,['42'],1
1512,[],0
1513,[],0
1514,[],0
1515,"['19', '33']",2
1516,[],0
1517,"['19', '21']",2
1518,['33'],1
1519,"['19', '21']",2
1520,['19'],1
1521,[],0
1522,"['11', '33']",2
1523,['11'],1
1524,[],0
1525,['21'],1
1526,[],0
1527,['33'],1
1528,[],0
1529,['21'],1
1530,[],0
1531,['33'],1
1532,[],0
1533,[],0
1534,[],0
1535,['42'],1
1536,[],0
1537,"['19', '21']",2
1538,[],0
1539,['33'],1
1540,['33'],1
1541,[],0
1542,[],0
1543,['33'],1
1544,['19'],1
1545,[],0
1546,['33'],1
1547,"['11', '19', '33', '42']",4
1548,[],0
1549,[],0
1550,['42'],1
1551,[],0
1552,['11'],1
1553,['19'],1
1554,['33'],1
1555,['19'],1
1556,"['11', '21', '33']",3
1557,"['21', '42']",2
1558,[],0
1559,[],0
1560,['11'],1
1561,['19'],1
1562,['33'],1
1563,[],0
1564,['19'],1
1565,"['19', '42']",2
1566,['33'],1
1567,[],0
1568,['11'],1
1569,[],0
1570,['21'],1
1571,['42'],1
1572,['33'],1
1573,['19'],1
1574,['21'],1
1575,['19'],1
1576,"['11', '21']",2
1577,[],0
1578,['21'],1
1579,"['11', '21']",2
1580,[],0
1581,['33'],1
1582,['21'],1
1583,[],0
1584,[],0
1585,[],0
1586,[],0
1587,['33'],1
1588,[],0
1589,[],0
1590,['33'],1
1591,['21'],1
1592,[],0
1593,[],0
1594,['19'],1
1595,['19'],1
1596,[],0
1597,[],0
1598,"['11', '33']",2
1599,['33'],1
1600,['19'],1
1601,[],0
1602,[],0
1603,[],0
1604,[],0
1605,['42'],1
1606,[],0
1607,[],0
1608,[],0
1609,['33'],1
1610,[],0
1611,['11'],1
1612,['33'],1
1613,['42'],1
1614,[],0
1615,[],0
1616,[],0
1617,[],0
1618,[],0
1619,[],0
1620,"['11', '33']",2
1621,['33'],1
1622,['19'],1
1623,[],0
1624,['21'],1
1625,['42'],1
1626,[],0
1627,[],0
1628,['19'],1
1629,[],0
1630,['11'],1
1631,[],0
1632,['21'],1
1633,"['11', '19']",2
1634,[],0
1635,['19'],1
1636,[],0
1637,[],0
1638,[],0
1639,['21'],1
1640,[],0
1641,"['19', '42']",2
1642,[],0
1643,[],0
1644,['11'],1
1645,['21'],1
1646,['11'],1
1647,[],0
1648,[],0
1649,"['11', '33']",2
1650,['11'],1
1651,[],0
1652,[],0
1653,[],0
1654,[],0
1655,[],0
1656,[],0
1657,[],0
1658,[],0
1659,[],0
1660,[],0
1661,[],0
1662,['42'],1
1663,[],0
1664,[],0
1665,[],0
1666,[],0
1667,"['11', '21']",2
1668,[],0
1669,['11'],1
1670,[],0
1671,[],0
1672,[],0
1673,['33'],1
1674,"['21', '33']",2
1675,[],0
1676,[],0
1677,['42'],1
1678,['19'],1
1679,[],0
1680,['33'],1
1681,['21'],1
1682,['33'],1
1683,[],0
1684,[],0
1685,['42'],1
1686,[],0
1687,['33'],1
1688,[],0
1689,[],0
1690,[],0
1691,[],0
1692,[],0
1693,"['21', '42']",2
1694,[],0
1695,[],0
1696,[],0
1697,[],0
1698,['11'],1
1699,[],0
1700,"['11', '19', '33']",3
1701,['19'],1
1702,['33'],1
1703,['33'],1
1704,[],0
1705,[],0
1706,[],0
1707,[],0
1708,"['11', '19', '21']",3
1709,[],0
1710,['42'],1
1711,[],0
1712,['21'],1
1713,"['19', '42']",2
1714,[],0
1715,[],0
1716,[],0
1717,[],0
1718,['33'],1
1719,[],0
1720,[],0
1721,"['11', '19']",2
1722,['33'],1
1723,[],0
1724,['33'],1
1725,[],0
1726,[],0
1727,[],0
1728,['11'],1
1729,"['19', '33']",2
1730,[],0
1731,[],0
1732,['42'],1
1733,['42'],1
1734,"['21', '42']",2
1735,['19'],1
1736,[],0
1737,[],0
1738,[],0
1739,[],0
1740,['21'],1
1741,[],0
1742,[],0
1743,['42'],1
1744,[],0
1745,[],0
1746,[],0
1747,['19'],1
1748,[],0
1749,[],0
1750,[],0
1751,[],0
1752,[],0
1753,[],0
1754,[],0
1755,['33'],1
1756,"['33', '42']",2
1757,[],0
1758,[],0
1759,[],0
1760,[],0
1761,[],0
1762,[],0
1763,['42'],1
1764,"['11', '42']",2
1765,['42'],1
1766,[],0
1767,[],0
1768,['11'],1
1769,[],0
1770,[],0
1771,[],0
1772,['21'],1
